[Header]
Data File Name	C:\GCMSsolution\Data\2024\202405\20240514-1.qgd
Output Date	2024/6/11
Output Time	9:39:45

[MS Spectrum]
# of Peaks	62
Raw Spectrum	1.242 -> 1.258 (scan : 126 -> 128)
Background	1.183 <-> 1.367 (scan : 119 <-> 141)
Base Peak	m/z 43.95 (Inten : 299,137)
Event#	1
m/z	Absolute Intensity	Relative Intensity
44.00	483464	100.00
45.00	45508	9.41
46.00	2119	0.44
46.95	1078	0.22
51.00	121	0.03
51.95	346	0.07
52.95	1856	0.38
54.05	632	0.13
54.95	18585	3.84
55.95	12531	2.59
57.00	5189	1.07
58.00	672	0.14
58.95	4982	1.03
60.00	82	0.02
62.00	15	0.00
68.00	61	0.01
69.00	317	0.07
70.05	41	0.01
71.00	1156	0.24
72.05	133	0.03
73.00	4705	0.97
74.00	874	0.18
75.00	183	0.04
76.00	47	0.01
77.00	9	0.00
80.00	27	0.01
81.00	43	0.01
82.00	20	0.00
83.05	32	0.01
84.00	44	0.01
85.05	47	0.01
87.00	64	0.01
88.00	36	0.01
93.00	1	0.00
94.00	12	0.00
95.05	30	0.01
96.05	47	0.01
97.05	58	0.01
98.05	24	0.00
99.00	17	0.00
107.00	2	0.00
108.00	37	0.01
109.10	33	0.01
110.10	15	0.00
111.10	41	0.01
112.10	40	0.01
115.10	21	0.00
116.10	15	0.00
117.10	17	0.00
119.10	15	0.00
120.10	34	0.01
121.10	12	0.00
123.10	19	0.00
124.10	32	0.01
125.10	18	0.00
126.10	22	0.00
127.10	11	0.00
129.10	42	0.01
133.10	6	0.00
134.10	91	0.02
135.10	31	0.01
137.10	30	0.01
138.10	23	0.00
139.10	19	0.00
141.10	85	0.02
147.10	2	0.00
149.10	10	0.00
151.10	45	0.01
152.10	26	0.01
153.10	105	0.02
155.10	70	0.01
157.10	72	0.01
166.10	41	0.01
171.10	105	0.02
185.10	93	0.02
194.10	69	0.01
236.10	58	0.01
237.10	74	0.02
243.10	110	0.02
256.10	47	0.01
257.10	36	0.01
[MS Spectrum]
# of Peaks	135
Raw Spectrum	8.242 -> 8.258 (scan : 966 -> 968)
Background	8.092 <-> 8.367 (scan : 948 <-> 981)
Base Peak	m/z 31.00 (Inten : 3,017,078)
Event#	1
m/z	Absolute Intensity	Relative Intensity
19.90	87	0.00
21.20	388	0.01
24.00	1382	0.05
25.00	8572	0.28
26.00	41875	1.39
27.00	153957	5.10
28.05	37295	1.24
29.00	480156	15.91
30.05	90796	3.01
31.00	3017078	100.00
32.00	336931	11.17
33.00	1281377	42.47
34.00	15988	0.53
35.00	2815	0.09
36.00	71	0.00
39.00	59	0.00
39.95	3512	0.12
40.95	18927	0.63
41.95	117456	3.89
42.95	439726	14.57
43.95	86956	2.88
44.95	160362	5.32
45.95	3742	0.12
46.95	1010	0.03
48.90	132	0.00
50.00	155	0.01
50.90	186	0.01
54.00	49	0.00
55.00	442	0.01
55.95	3996	0.13
57.00	794	0.03
57.95	2772	0.09
59.00	1081	0.04
60.00	7598	0.25
61.00	99864	3.31
62.00	198912	6.59
63.00	54389	1.80
64.00	2009	0.07
65.00	352	0.01
66.00	69	0.00
67.00	113	0.00
68.00	82	0.00
69.00	340	0.01
70.00	175	0.01
71.00	282	0.01
72.05	285	0.01
72.95	17850	0.59
73.95	25609	0.85
74.95	3638	0.12
76.00	264	0.01
76.95	582	0.02
78.00	35	0.00
79.00	26	0.00
80.00	43	0.00
81.00	146	0.00
82.05	85	0.00
83.05	269	0.01
84.05	212	0.01
85.05	226	0.01
86.00	1798	0.06
87.00	2957	0.10
